Nutrient,Light,Group,Chl,Chl_Ratio,Mg_NL,Mg_NS,Mg_ML,Mg_MS,Mg_OL,Mg_OS,Mg_LR,Mg_NR
Mg def.,Open,A,6.289360465,2.888741103,1.156857718,1.877612348,2.876987727,1.015734334,5.238545402,1.228196385,0.694376341,0.532484913
Mg def.,Open,A,6.416727273,3.055619398,1.041048726,1.463247462,2.888857284,1.168585403,5.798583041,1.16386679,0.580925948,0.4049862
Mg def.,Open,A,6.665852941,2.877219694,1.097295025,1.577013152,3.032237213,1.213984054,4.670223013,1.09350368,1.019746503,0.843340261
Cont.,Open,B,7.602925532,2.875047443,1.307658863,2.126561489,3.191638756,1.506483993,5.233277913,1.476427213,1.215805286,0.693396741
Cont.,Open,B,8.01056383,2.941174931,1.562765306,2.859044281,3.410880193,1.312567073,5.891606848,1.737643781,0.862491882,0.690716902
Cont.,Open,B,7.201558824,2.993079942,1.324249952,2.534193274,2.829444718,1.61365966,4.716208059,1.648131821,1.090142997,0.794956788
High Mg,Open,C,7.37427907,3.029967973,1.60547935,3.284030337,3.636619226,1.897723323,6.38823067,1.693242026,1.210787967,0.832011652
High Mg,Open,C,7.117444444,3.014300755,1.592921191,3.24186191,3.488182778,2.370579692,5.600363744,1.846618908,1.179231277,0.755392398
High Mg,Open,C,7.274548077,3.011032881,1.57153068,3.195820368,3.841790864,1.657658524,5.420725956,1.752802125,1.135502672,0.861622184
Mg def.,Shading,D,12.49528571,2.656265022,2.251435155,2.652329216,3.801918331,1.204868575,5.793196551,1.171250813,0.808319134,0.783912042
Mg def.,Shading,D,12.7062907,2.80605421,2.209621466,3.059715236,4.025881596,1.831146455,6.418897284,1.164819845,0.758373225,0.77675501
Mg def.,Shading,D,12.05826786,2.647507157,2.134172651,2.233625862,3.889088358,1.19991848,6.488389155,1.141526392,1.014487239,0.77002684
Cont.,Shading,E,12.58639535,2.721174076,2.06942451,2.560189072,3.740726207,1.78298561,6.083357654,1.479448231,1.149627144,0.911475669
Cont.,Shading,E,11.49516667,2.770912762,2.442033552,2.377449306,3.726718122,1.239694936,6.448149454,1.272041977,0.906545078,0.717240747
Cont.,Shading,E,11.9662,2.68817191,2.498432728,2.841550352,3.922505807,1.566714551,6.763039439,1.425180057,1.222261508,1.193996534
High Mg,Shading,F,12.17170213,2.717250611,2.539688394,3.37812524,4.186378874,1.684681718,6.659139464,1.581001453,1.372268479,1.093765557
High Mg,Shading,F,11.38911224,2.753145743,2.745876891,3.230488628,4.818276963,2.237835977,5.90900015,1.646951676,1.35942723,1.209008942
High Mg,Shading,F,13.10678261,2.639717956,2.628076645,3.066251239,4.108261332,1.870813857,6.870613308,1.671868314,1.294653714,1.14416804
